323619979265,20170216,,3,"Announcing CodeCup: a way for you to represent your city at CodeDay! This season's challenge is CTF. https://t.co/zY5e7amtoK0,"
322902319105,20170215,,4,"Get a piece of StudentRND/CodeDay's history: retro stickers and more. Very limited quantity: https://t.co/CyvtAiRAz30,"
693064376321,20170209,,0,"Come join us! Use promo code TWITTER to get 20 off! https://t.co/RQstIwEVEF https://t.co/LAw3pITR3d0,"
431486824449,20170130,,0,"We think it goes without saying, but as a reminder: you are always welcome in our community, no matter who you are. https://t.co/QJ3E7NrlXi0,"
407983710208,20170117,tjhorner,0,"@tjhorner @Plazmaz1 @domainr just like how we totally have Evangelist trademarked0,"
222998192128,20170113,,1,"Our online store is back, well, online! Want CodeDay shirts, stickers, and more? Just visit https://t.co/Yv6rBnFnyn (all prices are at-cost)0,"
925992439809,20170111,tjhorner,0,"@tjhorner Oh0,"
523783659520,20161230,,0,"Reminder: our last live workshop for this season's CodeBreak - Game Design - starts soon, at noon Pacific. https://t.co/0VgfsCxsb20,"
339090526209,20161229,,6,"Sorry for the technical difficulties, new URL for the live stream: https://t.co/hAAtLIWh9o0,"
272284164096,20161228,,0,"Reminder: Our first CodeBreak workshop, Intro to Databases, is starting in just a few minutes, at Noon Pacific! https://t.co/U9JR8jwcEI0,"
400202424321,20161228,cpwilkerson72,0,"@cpwilkerson72 When Stack Overflow goes down, we're all doomed...0,"
831689207810,20161220,,9,"Advice for New Programmers: https://t.co/W3DIeJ3NN90,"
028043563008,20161213,,0,"Want to code something over your winter break? Work alongside us, get help when you need it, and get a shirt! https://t.co/6aGDAU8LMT0,"
386838777856,20161209,liamschumm,0,"@liamschumm Send your shirt size and shipping address to tylermenezes@srnd.org for your shirt :)0,"
363312869377,20161209,RowanPhipps,0,"@RowanPhipps Send your shirt size and shipping address to tylermenezes@srnd.org for your shirt :)0,"
340768542720,20161209,QTAmberMom,0,"@QTAmberMom Send your shirt size and shipping address to tylermenezes@srnd.org for your shirt :)0,"
293139382272,20161209,HashtagEww,0,"@HashtagEww (If you're a volunteer and haven't already been offered a shirt, DM us for the order link.)0,"
871366795264,20161208,,0,"What's your favorite CodeDay memory? First 3 to reply (excl. staff/volunteers) will win limited edition StudentRND shirts!0,"
532012077056,20161205,talkusio,0,"@talkusio Thank you for your support of CodeDay!0,"
480515813376,20161120,tetrafox_,0,"@tetrafox_ me too0,"
905925099521,20161114,DMACedu,0,"(And thanks to you, @DMACedu, for being such a great CodeDay Boca host!)0,"
336762912768,20161114,,0,"Thank you again to @Splunk4Good, @LexisNexisRisk,  all the other sponsors who made this season a success! Couldn't have done it without you0,"
841732632576,20161113,StudentRND,0,"@KennethDEVX @iNoJB_Team It's hard to say for sure, because it depends on which judges and what they feel like that day.0,"
